,img,title,url,language_type
16,https://cdn.inflearn.com/public/courses/324412/course_cover/e856a66a-5166-477f-b485-9026fbaf09fc/ktw_algorithm.png,파이썬 알고리즘 문제풀이 (코딩테스트 대비),https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98-%EB%AC%B8%EC%A0%9C%ED%92%80%EC%9D%B4-%EC%BD%94%EB%94%A9%ED%85%8C%EC%8A%A4%ED%8A%B8,python
17,https://cdn.inflearn.com/public/courses/324082/course_cover/91ab047b-c7f9-4e81-956d-da1bcc3c2c68/ljh_python.png,파이썬입문과 크롤링기초 부트캠프 (2022 업데이트) [쉽게! 견고한 자료까지!],https://www.inflearn.com/course/python-crawling-basic,python
18,https://cdn.inflearn.com/public/courses/328189/cover/ba68a3f9-1c62-4d70-a4d9-9e3436ae4ee0/328189-eng.png,"일잘하는 마케터, MD에게 꼭 필요한 파이썬 데이터 분석",https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D-%EB%A7%88%EC%BC%80%ED%84%B0,python
19,https://cdn.inflearn.com/public/courses/327774/cover/c9e46a4f-9e9b-409a-beab-b3dc657e5bf7/327774-eng.png,이것이 진짜 크롤링이다 - 기본편,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%ED%81%AC%EB%A1%A4%EB%A7%81-%EA%B8%B0%EC%B4%88,python
20,https://cdn.inflearn.com/public/courses/327438/cover/081e779e-eecc-40c7-8a34-f68d36ef4d0e/327438-eng.png,파이썬 동시성 프로그래밍 : 데이터 수집부터 웹 개발까지 (feat. FastAPI),https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%8F%99%EC%8B%9C%EC%84%B1-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D,python
21,https://cdn.inflearn.com/public/courses/326301/cover/b155a782-523c-4ce9-97bb-4f589ecbf0b8,Google 공인! 텐서플로(TensorFlow) 개발자 자격증 취득,https://www.inflearn.com/course/%ED%85%90%EC%84%9C%ED%94%8C%EB%A1%9C%EC%9A%B0-%EC%9E%90%EA%B2%A9%EC%A6%9D,python
22,https://cdn.inflearn.com/public/courses/326179/cover/35aaa271-be72-4440-a4ad-476e05a369a2/파이썬_그냥재미.png,"파이썬, 그냥 재미로",https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EA%B7%B8%EB%83%A5-%EC%9E%AC%EB%AF%B8%EB%A1%9C,python
23,https://cdn.inflearn.com/public/courses/324031/course_cover/9404bff2-89f1-4784-8a74-49b0fa51f13a/fullstack_jeju%28%EC%88%98%EC%A0%95%29.png,코알못에서 웹서비스 런칭까지 : 2021 제주 코딩 베이스캠프(Django),https://www.inflearn.com/course/web_fullstack,python
24,https://cdn.inflearn.com/public/courses/324145/course_cover/f4b28e4f-6635-4e57-95be-5f4ac7b1ea49/I_O_python_1.png,프로그래밍 시작하기 : 파이썬 입문 (Inflearn Original),https://www.inflearn.com/course/%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%9E%85%EB%AC%B8-%EC%9D%B8%ED%94%84%EB%9F%B0-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90,data-analysis
25,https://cdn.inflearn.com/public/courses/328179/cover/9ebbb159-0527-4c27-85b1-fc4eefa4e3ff/328179-eng.png,금융데이터 분석을 위한 판다스 활용법,https://www.inflearn.com/course/%EA%B8%88%EC%9C%B5%EB%8D%B0%EC%9D%B4%ED%84%B0-%ED%8C%90%EB%8B%A4%EC%8A%A4-%ED%99%9C%EC%9A%A9,data-analysis
